_id,Pipeline Status,Application Number,Date Received,Description,Address,Ward,Proposed Residential Gross Floor Area,Proposed Non-Residential Gross Floor Area,Proposed Gross Floor Area,Proposed Residential Units,Application Information Centre Link
1976,Under Review,24 237044 STE 13 OZ,2024-11-08,"Zoning By-law Amendment for a proposed 67-storey residential/mixed-use building comprised of approximately 52,600 square metres of gross floor area (GFA), comprised of 52,000 square metres of residential GFA, 550 square metres of grade-related retail spa",530 YONGE ST,13,51573,1016,52589,822,http://app.toronto.ca/AIC/index.do?folderRsn=vqtcHVFRnLWKR5gd%2F7iZ4A%3D%3D
1977,Active,23 122250 WET 03 OZ,2023-03-11,"The proposed plan consists of a 11-storey residential mixed use mid-rise, with retail at grade. A total of 21,949 square metres residential GFA and 447 square metres non-residential retail GFA are proposed, along with 2 below grade parking levels. The re",4241 DUNDAS ST W,3,21785.3,439.2,22224.5,318,http://app.toronto.ca/AIC/index.do?folderRsn=LTkYq572zI1NBYQBuKbWBQ%3D%3D
1978,Under Review,24 117636 NNY 06 SA,2024-02-21,"One-story commercial building containing a financial institution and a retail store, with a non-residential GFA of 613.2 square metres, and 14 total parking spaces.",4362 BATHURST ST,6,0,613.2,613.2,0,http://app.toronto.ca/AIC/index.do?folderRsn=SLEvSa36uFPKlOSPGdLuIA%3D%3D
1979,Active,25 150427 STE 09 OZ,2025-04-28,Proposed expansion and conversion of existing medical building to accommodate residential uses for a new municipal shelter.,1615 DUFFERIN ST,9,0,2050,2050,0,http://app.toronto.ca/AIC/index.do?folderRsn=j0qzoEIqWNprFnqKhBbTTA%3D%3D
1980,Active,23 119287 STE 11 OZ,2023-03-02,"Zoning By-law Amendment application to permit an 11-storey mixed-use building, containing 60 dwelling units (of which 11 are replacement rental units) and 169 square metres of non-residential gross floor area.",126 AVENUE RD,11,3968,170,4138,60,http://app.toronto.ca/AIC/index.do?folderRsn=ZOBvDn7F2CHaFmza7l1OiQ%3D%3D
1981,Active,17 257139 STE 22 OZ,2017-11-02,"Revised - subsequen to OLT OZ settlement, and Site Plan Application filed which separates lands comprised of 214-226 Soudan Avenue and 19-21 Brownlow Avenuefrom the Briton House Retirement complex (municipally known as 700-730 Mount Pleasant Road) to per",700 MOUNT PLEASANT RD,12,32900,0,32900,527,http://app.toronto.ca/AIC/index.do?folderRsn=keqtbf4QKJnB9nD5egqR7Q%3D%3D
1982,Active,25 150448 NNY 18 OZ,2025-04-28,Proposal to amend the Official Plan and Zoning By-law to allow for a 6-storey municipal shelter with approximately 80 beds.,68 SHEPPARD AVE W,18,0,2524.7,2524.7,0,http://app.toronto.ca/AIC/index.do?folderRsn=jljCRGnmte5u8DOkqi6GrQ%3D%3D
1983,Active,25 150456 NNY 08 OZ,2025-04-28,Zoning By-law Amendment to permit a 6-storey residential building to accomodate a municipal shelter with approximately 80 beds.,2204 EGLINTON AVE W,8,0,2352.4,2352.4,0,http://app.toronto.ca/AIC/index.do?folderRsn=oLxA6F49cgxcRLw4mJUuTA%3D%3D
1984,Active,20 113131 STE 19 OZ,2020-02-06,The application proposes to amend the Zoning By-law to permit an 8-storey residential building containing 64 units. A two storey heritage reconstruction will be integrated into the development.,2720 DANFORTH AVE,19,4702.61,0,4702.61,64,http://app.toronto.ca/AIC/index.do?folderRsn=KSdhIH3enq0lsBhP5UmNMQ%3D%3D
1985,Active,21 249603 STE 10 OZ,2021-12-17,"Zoning By-law Amendment Application to permit the redevelopment of the site with a 39-storey plus mechanical penthouse mixed-use building with a total height of 133.95 metres. The total proposed gross floor area equals 27,253  square metres including 194",101 SPADINA AVE,10,34933.3,127.4,35060.7,452,http://app.toronto.ca/AIC/index.do?folderRsn=jxo2NP%2B5fjboUWulwDBJAQ%3D%3D
1986,Active,22 198105 STE 04 OZ,2022-08-31,"Proposal for a mixed-use development consisting of three buildings at 9, 26 and 29 storeys and incorporating portions of the existing buildings.  The development consists of a total of 768 residential units with 46,713.05 sqm residential space, 1,964.5 s",340 DUFFERIN ST,4,46963.66,1964.5,48928.16,768,http://app.toronto.ca/AIC/index.do?folderRsn=N1c4egI2XUac%2BlNRolaH%2BA%3D%3D
1987,Active,21 199866 STE 12 OZ,2021-08-17,Zoning By-law Amendment application to facilitate the development of the site for a 26-storey residential building atop a 6-storey podium element.,91 RAGLAN AVE,12,19124,0,19124,225,http://app.toronto.ca/AIC/index.do?folderRsn=AFjrHGLd8QpIJcpfhe2Aww%3D%3D
1988,Active,22 213129 NNY 06 OZ,2022-10-04,"Proposal to demolish the existing 5 single detached homes and redevelop the subject site with a 12-storey mixed-use mid-rise building with 190 dwelling units, 14,050 m2 residential GFA and 550 m2 retail at grade with FSI of 5.34. The proposal will provid",47 STADACONA DR,6,14050,550,14600,190,http://app.toronto.ca/AIC/index.do?folderRsn=o1wzs7bwMr6StIf%2ByiILgA%3D%3D
1989,Active,19 263252 WET 07 OZ,2019-12-19,18 new residential units comprised of 2-storey single detached and semi-detached dwellings.,20 WALLASEY AVE,7,6006.5,0,6006.5,18,http://app.toronto.ca/AIC/index.do?folderRsn=%2FWHmrRhfzsS1X1JsGkYJFA%3D%3D
1990,Active,22 242163 WET 03 OZ,2022-12-23,"Zoning By-law Amendment application to permit a 35-storey residential building at 1276 Islington Avenue. The existing 12-storey apartment buildings on the lands is proposed to be retained. The development proposes 363 additional residential units (25,082",1276 ISLINGTON AVE,3,24685,0,24685,371,http://app.toronto.ca/AIC/index.do?folderRsn=4EGuRS0HXjlLZCQnPNryEw%3D%3D
1991,Active,25 120999 NNY 08 OZ,2025-02-24,"OPA & Rezoning Application proposes the development of a 13-storey seniors residence providing residential suites, assisted living suites and memory care suites. The building will provide a total of 251 residential units, being a mix of studios, 1-bedroo",2704 YONGE ST,8,8282,11959,20241,107,http://app.toronto.ca/AIC/index.do?folderRsn=onU2rCg2EfM2qfTNMifePg%3D%3D
1992,Active,24 200736 NNY 18 OZ,2024-08-19,Official Plan Amendment and rezoning applications to permit a mixed-use development in the form of an 11-storey mid-rise residential building with ground floor retail fronting Finch Avenue West.,221 FINCH AVE W,18,33519.91,1947.24,35467.15,503,http://app.toronto.ca/AIC/index.do?folderRsn=9cczVa%2FQqTJ94W%2FlMGdfwQ%3D%3D
1993,Built,12 261548 NNY 24 SA,2012-10-12,"The applicant proposes to construct a two-storey retail building, with two levels of underground parking on Parcel A.  A 48-unit residential townhouse development with one level of underground parking is proposed on Parcel B.",784 SHEPPARD AVE E,17,0,3960,3960,0,
1994,Active,19 244188 STE 13 OZ,2019-11-01,"Zoning By-law Amendment application to permit three buildings of 11, 39 and 44 storeys containing 1,099 square metres of retail, 15,206 square metres of office and 1,094 dwelling units, retention of the heritage row houses at 72-78 Berkeley Street, an ea",49 ONTARIO ST,13,71861,568,72429,1226,http://app.toronto.ca/AIC/index.do?folderRsn=DqNCAMD69Pbbc9PN8NNIQw%3D%3D
1995,Active,16 173154 STE 27 OZ,2016-06-13,A rezoning and OPA application for a 51-storey residential tower (179 metres tall including 3 mechanical floors).  A total of 165 residential units are proposed along with density of 32.2 times the area of the lot.  The application has been refused by Ci,874 YONGE ST,11,23399,78,23477,342,http://app.toronto.ca/AIC/index.do?folderRsn=Kwb2WZ5gqynAP41O9j1m6A%3D%3D
1996,Under Review,21 233897 STE 12 OZ,2021-11-03,Zoning By-law Amendment application to permit a 45-storey mixed use building with 585 residential units.  Associated Official Plan Amendment 22 198241 STE 12 OZ is required for site-specific relief from office replacement policy requirements of Yonge-Egl,50 MERTON ST,12,34229,1758,35987,581,http://app.toronto.ca/AIC/index.do?folderRsn=nnbkVB3MSlXRS0d6MZVe5w%3D%3D
1997,Built,16 225685 NNY 23 OZ,2016-09-20,"Proposal for a 10-storey building with 230 units and 1,750 square metres of ground floor retail including a beer store.  The proposal also includes a 4 level underground garage including 218 parking spaces.",181 SHEPPARD AVE E,18,13600,1400,15000,185,http://app.toronto.ca/AIC/index.do?folderRsn=e5wQisEPXt%2B1WAAufIWkrA%3D%3D
1998,Under Review,24 229459 STE 14 SA,2024-10-22,Site Plan Approval for the Cosburn Station as part of the Ontario Line Subway,1030 PAPE AVE,14,0,1156,1156,0,http://app.toronto.ca/AIC/index.do?folderRsn=9%2BZ1Wy7v7UDO%2BXuPJ6Uq7A%3D%3D
1999,Built,15 228723 NNY 15 OZ,2015-09-25,The application proposes to amend the former City of Toronto Zoning By-law 438-86 and new City of Toronto Zoning By-law 569-2013 to permit a 34-storey (107 metre) apartment building at 100 Broadway Avenue and 223-225 Redpath Avenue.  The proposed buildin,100 BROADWAY AVE,15,28497,100,28597,448,http://app.toronto.ca/AIC/index.do?folderRsn=%2FQtkcu3sxdezssbDFBZuHQ%3D%3D
2000,Active,18 265948 ESC 23 SA,2018-12-07,Proposed development of a two storey addition to existing commercial mall to create new cinemas using the existing underground parking garage.,1571 SANDHURST CRCL,23,0,11242,11242,0,http://app.toronto.ca/AIC/index.do?folderRsn=t9wkBbzsTKH7PrdqN6uLSw%3D%3D
2001,Under Review,24 113378 NNY 17 SA,2024-02-08,"North York General Long term care facility (528 beds) owned and oeprated by NYGH with senior focused services (hemodialysis, medial imaging and pharmcy) as well as an integrated care services offered out of the North York General Hospital across the stre",4000 LESLIE ST,17,0,59720,59720,0,http://app.toronto.ca/AIC/index.do?folderRsn=IbJWAACheWl2CTS%2F6ji3dg%3D%3D
2002,Under Review,24 216386 STE 09 SA,2024-09-23,"This site plan control application is for the propossed Bloor Lansdowne Smart Track GO Station, which consists of the main station building, platforms, and Maintenance Building located at the south end of the platforms at Dora Avenue. Cross-Reference 131",1319 BLOOR ST W,9,0,1022.88,1022.88,0,http://app.toronto.ca/AIC/index.do?folderRsn=1fRhCZUhkZz7Hwl%2BsfJZDQ%3D%3D
2003,Built,19 137676 NNY 16 SA,2019-04-09,"Tower A is a 33 storey (133m) residential building containing 251 dwelling units and a gross floor area of approximately 33,252 sqm.  A total of 312 parking spaces are proposed to be located below grade.  A total of 303 bicycle parking spaces are provide",1095 LESLIE ST,16,33116,290,33406,250,http://app.toronto.ca/AIC/index.do?folderRsn=FQCoFlxhhwNOkGkZ0nFZ6w%3D%3D
2004,Active,20 159922 STE 11 OZ,2020-06-24,"Zoning By-law Amendment application to permit a 9-storey non-residential building, containing 13,600 square metres of non-residential gross floor area.",1109 BATHURST ST,11,0,11847,11847,0,http://app.toronto.ca/AIC/index.do?folderRsn=8LBnaljMSUsKMfv6TraSSg%3D%3D
2005,Active,23 183066 STE 09 OZ,2023-08-01,Official Plan Amendment and Zoning By-law Amendment for a 10 storey mixed use building with 418square metres of ground floor retail and 183 dwelling units. The Official Plan Amendment proposes to redesignate lands at 3 Osler St from Neighbourhoods to Mix,1650 DUPONT ST,9,9863.4,418.4,10281.8,159,http://app.toronto.ca/AIC/index.do?folderRsn=R8%2BsU1vIOfatoQRtlue9fw%3D%3D
2006,Under Review,24 253157 NNY 18 OZ,2024-12-23,Official Plan and Zoning By-law Amendment application to permit the redevelopment of the subject site with an 11-storey (41-metre) residential building containing a total of 148 dwelling units. The proposal includes a gross floor area of approximately 10,40 HENDON AVE,18,10228.33,0,10228.33,148,http://app.toronto.ca/AIC/index.do?folderRsn=iPShNmh46XKQU0XOFDq5gw%3D%3D
2007,Built,18 120119 WET 11 OZ,2018-02-22,To amend the City of Toronto Zoning By-law No. 569-2013 and the former City of York Zoning By-law No. 1-83 to permit a 15-storey apartment building containing 126 residential rental units. The proposed residential units are to be affordable rental housin,2346 WESTON RD,5,7041,0,7041,126,http://app.toronto.ca/AIC/index.do?folderRsn=VAVJUn47IdH5rbbXFK5GOw%3D%3D
2008,Built,17 237625 WET 05 OZ,2017-09-22,The proposal is for a new 11-storey mixed-use building with retail at-grade.,859 THE QUEENSWAY,3,15059,1163,16222,187,http://app.toronto.ca/AIC/index.do?folderRsn=lb4joiHXKDrfFhV%2FckBB%2Fw%3D%3D
2009,Built,11 127808 ESC 38 SA,2011-02-16,To construct a rear addition onto the existing Animal Care Centre.,821 PROGRESS AVE,24,0,117,117,0,
2010,Under Review,24 245745 NNY 17 OZ,2024-12-02,"OPA & Rezoning proposes a new residential tower (Building ""A"") with a height of 43-storeys. The proposal contemplates a total gross floor area of 31519.8 square metres and a density of 5.24 Floor Space Index across the gross site area of the Parkside Squ",2135 SHEPPARD AVE E,17,31383,0,31383,463,http://app.toronto.ca/AIC/index.do?folderRsn=%2B7TJAL7iT%2BjIDfAnuG3T5A%3D%3D
2011,Active,25 125960 ESC 25 OZ,2025-03-07,Proposal to construction 47 affordable housing units targeted towards youth. The proposed building is 4 storeys (12.62 metres) tall with a footprint of 658.1 metres squared and a gross floor area of 2347.1 metres squared. 29 parking spaces are proposed.,62 ORCHARD PARK DR,25,2347.1,0,2347.1,47,http://app.toronto.ca/AIC/index.do?folderRsn=WPoO4UcjTK4PGHYR4Bsv%2Bg%3D%3D
2012,Active,15 170269 NNY 23 OZ,2015-06-08,"An application to amend the Official Plan and Zoning By-law to permit a 16 storey 362 unit residential building with ground floor commercial uses fronting on Sheppard Ave West, and 4 storey residential townhouses fronting on Bogert Ave and three levels o",53 SHEPPARD AVE W,18,24439,219,24658,415,http://app.toronto.ca/AIC/index.do?folderRsn=H%2BiF5nMFcP%2Bdl2LdULatyA%3D%3D
2013,Under Review,23 105243 NNY 08 OZ,2023-01-19,Zoning By-law Amendment application to provide standards for the development of two proposed lots. The existing detached dwelling will be maintained and a new detached dwelling is proposed on the new lot.,7 SAGUENAY AVE,8,768.64,0,768.64,0,http://app.toronto.ca/AIC/index.do?folderRsn=R757WLIsMA5PhfCz7SqLkA%3D%3D
2014,Built,15 266271 WET 11 SA,2015-12-17,"Proposal to replace the existing St. John the Evangelist Elementary School. The existing school site has been expanded to accommodate a larger school to service the community within this area, including expanded open space and play areas, parking and inc",23 GEORGE ST,5,0,2603,2603,0,
2015,Active,17 280210 NNY 09 OZ,2017-12-29,"10-storey (40m) mixed-use development incorporating 158 residential condominium units (flr 2-7); ground floor retail; office (8 flr); self-storage (flr 2-7); indoor & outdoor amenity space. 334 vechicular and 151 bicycle parking spaces, and 4 loading spa",3621 DUFFERIN ST,6,15968,30611,46579,158,http://app.toronto.ca/AIC/index.do?folderRsn=kCGJFPUiTwDTff51DAW4xA%3D%3D
2016,Built,14 133253 ESC 44 SA,2014-03-25,"An application for Site Plan Approval to permit a 5-storey seniors oriented apartment building with 14 units. 15 parking spaces are proposed in a parking area located at the rear of the site, including one accessible parking space.",61 ORCHARD PARK DR,25,1813.52,82.03,1895.55,14,
2017,Under Review,24 166703 STE 12 OZ,2024-06-18,"Combined Official Plan & Zoning By-law Amendment for a 65-storey mixed-use building with a height of 206 metres (excluding the mechanical penthouse). The proposed building will include approximately 998 square metres of retail space, 46,476.79 square met",2323 YONGE ST,12,46477,998,47475,784,http://app.toronto.ca/AIC/index.do?folderRsn=XMqnMmlIb%2FOMbxovRXcsxA%3D%3D
2018,Active,17 261931 STE 22 OZ,2017-11-14,"The Revised Proposal seeks an amendment to the Zoning By-laws to permit the development of a 35-storey mixed use building on the Subject Site, including a 26-storey residential tower element atop a nine-storey podium, with non-residential uses at grade a",808 MOUNT PLEASANT RD,12,48697,802,49499,889,http://app.toronto.ca/AIC/index.do?folderRsn=b67vPUrtmrkbqUxqwKnb0A%3D%3D
2019,Built,16 163131 NNY 23 SA,2016-05-27,Construct two 4-storey (rental) apartment buildings with a total of 74 dwelling units.,120 SHEPPARD AVE E,18,5000,0,5000,74,http://app.toronto.ca/AIC/index.do?folderRsn=RIf6d43TpbnP4S%2BpBGpgYw%3D%3D
2020,Built,16 268887 NNY 09 SA,2016-12-20,"((Temporary Address - 27 Frederick Tisdale Drive))155 town house development on Blocks 1,2,3 and 6 Block G District Plan (Stanley Greene). Please note that a seperate application (File 16-268941 NNY 09 SA) has been filed for the related Stacked Townhouse",80 CARL HALL RD,6,46105.9,0,46105.9,155,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4082536&isCofASearch=false
2021,Active,20 149566 STE 04 SA,2020-05-27,Site Plan Approval for a 13-storey residential tower containing 174 dwelling units with 4 units of non-residential gross floor area at-grade. A total of 101  parking spaces are provided within four levels of underground parking.,1660 BLOOR ST W,4,12116,315,12431,174,http://app.toronto.ca/AIC/index.do?folderRsn=VoETJ%2B2I6wNTtGGW8beQSQ%3D%3D
